iter	Passed	Remaining
963	68253	2548
964	68328	2478
965	68405	2407
966	68482	2337
967	68565	2266
968	68647	2196
969	68721	2125
970	68794	2054
971	68876	1984
972	68953	1913
973	69032	1842
974	69105	1771
975	69183	1701
976	69257	1630
977	69348	1559
978	69424	1489
979	69505	1418
980	69582	1347
981	69660	1276
982	69740	1206
983	69820	1135
984	69894	1064
985	69974	993
986	70059	922
987	70139	851
988	70234	781
989	70314	710
990	70397	639
991	70478	568
992	70558	497
993	70642	426
994	70720	355
995	70796	284
996	70873	213
997	70956	142
998	71032	71
999	71117	0
